player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,梢,姬芽,慈,瑠璃乃,吟子,小铃,さやか,花帆,缀理
UA5OC8495,1,105443319382992,zth,MAJT0THVB,めぐちゃんはぴば,9,10,10,10,10,10,10,10,10,10
FWBTX791U,2,104035427688530,garry,MAJT0THVB,めぐちゃんはぴば,0,10,10,10,10,10,10,10,10,10
CAH984HAW,3,103914185197956,タピエンル,MAJT0THVB,めぐちゃんはぴば,3,10,10,10,10,10,10,10,10,10
FM1GCQSEE,4,103013046201705,TANEVIL,MAJT0THVB,めぐちゃんはぴば,9,10,10,10,10,10,10,10,10,10
9R9QSN1GL,5,102640735110900,其疾如風,MAJT0THVB,めぐちゃんはぴば,13,10,10,10,10,10,10,10,10,10
SKN67I1NN,6,99499662515240,在床上睡覺,MAJT0THVB,めぐちゃんはぴば,3,10,10,10,10,10,10,10,10,10
Z4UQWX99L,7,99106948555833,玻璃乃,MAJT0THVB,めぐちゃんはぴば,9,10,10,10,10,10,10,10,10,10
7604CH5KV,8,98608182831999,hiro,FK5MUK0ET,くる♡すきクラブ,14,10,10,10,10,10,10,10,10,10
KY6X3BV7A,9,97970367180308,托羅猪肉・㌧ﾄﾛ,25PMPEMG7,星见制作,7,10,10,10,10,10,10,10,10,10
2I4NAUEKO,10,97732831510561,司馬雲英,MAJT0THVB,めぐちゃんはぴば,2,10,10,10,10,10,10,10,10,10
02DY8MLAP,11,97403104029114,蓮き,MAJT0THVB,めぐちゃんはぴば,0,10,10,10,10,10,10,10,10,10
WYT65FE8G,12,97332836199769,ティーカップ,MAJT0THVB,めぐちゃんはぴば,2,10,10,10,10,10,10,10,10,10
BFBDRTETJ,13,97237399199814,からいろは,EYN9H9N16,蓮星学園,11,10,10,10,10,10,10,10,10,10
B424J17UB,14,94419030242733,ginkaho,MAJT0THVB,めぐちゃんはぴば,2,10,10,10,10,10,10,10,10,10
PLE67URFB,15,92274596521123,DasserAN,MAJT0THVB,めぐちゃんはぴば,1,10,10,10,10,10,10,10,10,10
8EB0GXWX1,16,92236467089374,みむ。,EYN9H9N16,蓮星学園,4,10,10,10,10,10,10,10,10,10
4387Y57EA,17,91762632231422,あなたこなた,11XTEEEJT,リンクラ料理部,3,10,10,10,10,10,10,10,10,10
Z4TLWEM1D,18,91417091798507,小型独楽♟️,YE7CX8RNP,能京カバディ部,5,10,10,10,10,10,10,10,10,10
9ENVXR95K,19,91361882282091,マオ,MAJT0THVB,めぐちゃんはぴば,2,10,10,10,10,10,10,10,10,10
KLUX6726R,20,91353719941500,Ted,MAJT0THVB,めぐちゃんはぴば,10,10,10,10,10,10,10,10,10,10
ZYAP6N76H,21,89081655878079,平穏を心に,BKLW6CR5L,Mix鮭の空!!,10,10,10,10,10,10,10,10,10,10
VX6FL3EOS,22,88931183384718,ミミル,MAJT0THVB,めぐちゃんはぴば,7,10,10,10,10,10,10,10,10,10
SM59T811D,23,88837279676502,Case,MAJT0THVB,めぐちゃんはぴば,5,10,10,10,10,10,10,10,10,10
DES39P1DL,24,88518874104584,ェダ,YE7CX8RNP,能京カバディ部,8,10,10,10,10,10,10,10,10,10
0USG3I0AK,25,87923473197171,ピーちゃん,VW65MCVF8,スリスリーズ,12,10,10,10,10,10,10,10,10,10
WCN6J32TG,26,87674077304630,さゆりんのほっぺ,BKLW6CR5L,Mix鮭の空!!,10,10,10,10,10,10,10,10,10,10
L5FWMMCWN,27,87512372956028,マナト,PBRDPWEY1,村村会,9,10,10,10,10,10,10,10,10,10
1FREY7CCF,28,87449320282008,ぱむっち,11XTEEEJT,リンクラ料理部,3,10,10,10,10,10,10,10,10,10
0CPFA3PTM,29,87382987306857,かりん,25PMPEMG7,星见制作,7,10,10,10,10,10,10,10,10,10
VH1RC5NNC,30,87136812070395,小暮的无名指也,25PMPEMG7,星见制作,2,10,10,10,10,10,10,10,10,10
3Q65ASSTC,31,86885331838534,ドガース,YE7CX8RNP,能京カバディ部,11,10,10,10,10,10,10,10,10,10
FVG9O3T6M,32,86776850748853,つづもん,11XTEEEJT,リンクラ料理部,6,10,10,10,10,10,10,10,10,10
G25EXFDYH,33,86572039637126,いかずちさんだー,25PMPEMG7,星见制作,2,10,10,10,10,10,10,10,10,10
PG3THEV4C,34,85402908942790,あお,EYN9H9N16,蓮星学園,1,10,10,10,10,10,10,10,10,10
TUHKRV0IW,35,85185032420012,ポン,EYN9H9N16,蓮星学園,10,10,10,10,10,10,10,10,10,10
WL6FFE9FY,36,84436743719693,もょもと,EYN9H9N16,蓮星学園,9,10,10,10,10,10,10,10,10,10
TKLRD66RN,37,84334583442179,ふじー,BKLW6CR5L,Mix鮭の空!!,8,10,10,10,10,10,10,10,10,10
P4BD94K88,38,84048048839282,ﾊｯﾋﾟｰの代表,11XTEEEJT,リンクラ料理部,14,10,10,10,10,10,10,10,10,10
U7NEBV4KH,39,83432488856718,こーど,BKLW6CR5L,Mix鮭の空!!,7,10,10,10,10,10,10,10,10,10
JRXUOPXXN,40,83317309947080,ぐんま,49AMYCXCD,ルドベキア,8,10,10,10,10,10,10,10,10,10
A172AA7DD,41,83266436307217,にしん,FVJFA973A,蓮ノ空愛好会,2,10,10,10,10,10,10,10,10,10
RCB4C3Q5H,42,83154626841881,まいごう,MAJT0THVB,めぐちゃんはぴば,10,10,10,10,10,10,10,10,10,10
HVA8EZJWM,43,82787252777364,鍋,BKLW6CR5L,Mix鮭の空!!,11,10,10,10,10,10,10,10,10,10
6NJM4GUG6,44,82385184439121,のせさん…,VW65MCVF8,スリスリーズ,6,10,10,10,10,10,10,10,10,10
FSJBKEC6U,45,82321618632451,ゼクロムレシラム,YE7CX8RNP,能京カバディ部,7,10,10,10,10,10,10,10,10,10
B6XUHLVUZ,46,81889763718902,ればにら,RFYKY8DCD,LA.LA.LA,11,10,10,10,10,10,10,10,10,10
L8VJOGDKM,47,81727930477312,立派な常識人,VW65MCVF8,スリスリーズ,11,10,10,10,10,10,10,10,10,10
10NAV71GP,48,81696455296120,あばば,MAJT0THVB,めぐちゃんはぴば,4,10,10,10,10,10,10,10,10,10
24M5TJDPS,49,81521623305776,鳴瀬しろは,FVJFA973A,蓮ノ空愛好会,10,10,10,10,10,10,10,10,10,10
SDS1BUPY2,50,81212775491749,にる,11XTEEEJT,リンクラ料理部,5,10,10,10,10,10,10,10,10,10
MEGKKH1W5,51,80912272574295,75,EYN9H9N16,蓮星学園,13,10,10,10,10,10,10,10,10,10
CO2UVBYHH,52,80568945471577,ｼﾏｴﾅｶﾞ,VW65MCVF8,スリスリーズ,1,10,10,10,10,10,10,10,10,10
XREWTWWBK,53,80557684324754,六眼的少子,11XTEEEJT,リンクラ料理部,10,10,10,10,10,10,10,10,10,10
NOB5KDBV6,54,80413267104239,しる220,0UT59MJ8U,かほすこ同好会,4,10,10,10,10,10,10,10,10,10
L13896J13,55,80391430457520,XLD,MAJT0THVB,めぐちゃんはぴば,9,10,10,10,10,10,10,10,10,10
7RODEB74T,56,80269214821917,しよー,RWARTHA1M,乙宗梢大好き部,13,10,10,10,10,10,10,10,10,10
W6KGEJ697,57,80067053336960,まだまだお,BKLW6CR5L,Mix鮭の空!!,3,10,10,10,10,10,10,10,10,10
ODE064I6J,58,79825561336847,ちあき,M5LHG6R4T,乙宗動物園,2,10,10,10,10,10,10,10,10,10
L6HBG7C3L,59,79788241371731,あまらく@,BKLW6CR5L,Mix鮭の空!!,5,10,10,10,10,10,10,10,10,10
J9C1NN8VB,60,79710232676598,あーびん,VW65MCVF8,スリスリーズ,10,10,10,10,10,10,10,10,10,10
XTY4GG18V,61,79561095601080,こーりん,1BME38BCD,さすさやクラブ,6,10,10,10,10,10,10,10,10,10
RVY1A8DYV,62,79497682905637,寒梢,MAJT0THVB,めぐちゃんはぴば,7,10,10,10,10,10,10,10,10,10
69B4P3TW1,63,79117981533626,ルアルディ,BKLW6CR5L,Mix鮭の空!!,9,10,10,10,10,10,10,10,10,10
U1IQYBNI5,64,79051209443379,通りすがりの人,BKLW6CR5L,Mix鮭の空!!,6,10,10,10,10,10,10,10,10,10
FSHR5FP4W,65,79005160230984,Kian,0B4LPDY69,巣〜極楽〜,9,10,10,10,10,10,10,10,10,10
7VE9T0CUP,66,78809497842146,村・フン民,PBRDPWEY1,村村会,4,10,10,10,10,10,10,10,10,10
7TAQGMS8W,67,78777890321876,ゆる,PBRDPWEY1,村村会,15,10,10,10,10,10,10,10,10,10
KBI8MUTYD,68,78712482473519,まけれれ,EYN9H9N16,蓮星学園,8,10,10,10,10,10,10,10,10,10
68S69TGO8,69,78630861651682,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,5,10,10,10,10,10,10,10,10,10
GVNJDLBW8,70,78627882056897,魔虚羅,11XTEEEJT,リンクラ料理部,11,10,10,10,10,10,10,10,10,10
BGZ7SP3WX,71,78564552951727,はろいと,VW65MCVF8,スリスリーズ,5,10,10,10,10,10,10,10,10,10
RFP277XPM,72,78369900321922,スガ,11FB0EDDT,スクステ同好会,4,10,10,10,10,10,10,10,10,10
JVDRVFFBP,73,78307960842839,maimai,EYN9H9N16,蓮星学園,6,10,10,10,10,10,10,10,10,10
X0N1L475X,74,78251686427215,ぼた餅,J7N4W6Y1K,こずミックラブ♡,4,10,10,10,10,10,10,10,10,10
6VAVCA9BY,75,78056652318558,プログノーシス,BKLW6CR5L,Mix鮭の空!!,10,10,10,10,10,10,10,10,10,10
KXMPLAX04,76,77990012255713,ろーぱす,BKLW6CR5L,Mix鮭の空!!,3,10,10,10,10,10,10,10,10,10
EQOU1ZZS7,77,77940970480167,爆発30,VW65MCVF8,スリスリーズ,12,10,10,10,10,10,10,10,10,10
IZUFEEX2U,78,77786142940498,アルメ,EYN9H9N16,蓮星学園,6,10,10,10,10,10,10,10,10,10
AT03UHE11,79,77585669551179,えむ,25PMPEMG7,星见制作,5,10,10,10,10,10,10,10,10,10
HLMXHTKGB,80,77491431511430,たまき,MAJT0THVB,めぐちゃんはぴば,0,10,10,10,10,10,10,10,10,10
XVMHQZ5Z7,81,77230789625495,タママ,PBRDPWEY1,村村会,8,10,10,10,10,10,10,10,10,10
DV73OQD94,82,77017447948199,ちゆ,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
L71LEGR49,83,76911826598719,かんなぎ,3BDTCERX6,打ち返した流れ星,5,10,10,10,10,10,10,10,10,10
NLNKEMVRB,84,76836822372771,高町なのはな,FVJFA973A,蓮ノ空愛好会,3,10,10,10,10,10,10,10,10,10
VGWT7LCX7,85,76618053743092,ZUC,BKLW6CR5L,Mix鮭の空!!,7,10,10,10,10,10,10,10,10,10
FRTXRTHK1,86,76417418486477,コルド,49AMYCXCD,ルドベキア,3,10,10,10,10,10,10,10,10,10
S1JO65QZU,87,76194408475633,なこたんのほっぺ,BKLW6CR5L,Mix鮭の空!!,5,10,10,10,10,10,10,10,10,10
HY934N56T,88,76173785544763,キラメキふたつ星,BKLW6CR5L,Mix鮭の空!!,4,10,10,10,10,10,10,10,10,10
NC6WJYFVX,89,75920081274350,でら,11XTEEEJT,リンクラ料理部,14,10,10,10,10,10,10,10,10,10
DRSNNTTME,90,75845764490357,もや,YE7CX8RNP,能京カバディ部,2,10,10,10,10,10,10,10,10,10
