player_id,player_name,search_guild_key,guild_name,DR数量,rank,point, 结算前A分数 , 结算前A RANK , 结算前B分数 , 结算前B RANK , 结算前C分数 , 结算前C RANK , 结算前音游分数 , 结算前音游 rank ,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
4YTEQDE04,まんまる,EYN9H9N16,蓮すきすきクラブ,15,1,36000000," 7,488,551,668 "," 7,475 "," 65,520,034,154 "," 6,385 "," 40,123,931,923 "," 5,634 "," 14,154,852,152 ", 14 ,10,10,10,10,10,10,10,10,80
BJ2YEFM93,テンババア,EYN9H9N16,蓮すきすきクラブ,16,2,35850000," 6,326,577,249 "," 7,552 "," 5,342,545,726 "," 7,887 "," 7,616,484,336 "," 6,630 "," 15,023,760,892 ", 4 ,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,3F9P3U95T,ଳ天地鱏明の空ଳ,16,3,35810000," 5,409,444,104,098 ", 3 ," 5,521,322,798,221 ", 3 ," 2,221,974,496,078 ", 2 , - , - ,10,10,10,10,10,10,10,10,80
LP0BEDRF6,海とレモンティー,YE7CX8RNP,蓮ノ大三十角ex,17,4,35670000," 364,859,005 "," 8,985 "," 2,105,149,562 "," 8,296 "," 67,888,890 "," 9,104 "," 7,776,396,072 ", 100 ,10,10,10,10,10,10,10,10,80
6NJM4GUG6,Sea,3F9P3U95T,ଳ天地鱏明の空ଳ,9,5,35510000," 5,232,984,940,487 ", 10 ," 5,569,967,907,765 ", 2 ," 2,243,761,910,491 ", 1 , - , - ,10,10,10,10,10,10,10,10,80
HU55NKXPK,青春サブリミナル,EYN9H9N16,蓮すきすきクラブ,17,6,35490000," 81,115,836,535 "," 5,917 "," 23,673,998,931 "," 7,085 "," 3,260,441,105 "," 7,045 "," 15,310,468,082 ", 3 ,10,10,10,10,10,10,10,10,80
NC6WJYFVX,でら,1BME38BCD,さすさやクラブ,15,7,35370000," 4,659,670,542,679 ", 39 ," 5,267,442,650,072 ", 44 ," 1,825,620,679,691 ", 49 ," 14,604,517,517 ", 7 ,10,10,10,10,10,10,10,10,80
1FREY7CCF,ぱむぱむ,HE0GK3EPE,瑞蓮プロカ倶楽部,16,7,35370000, - , - , - , - , - , - ," 14,709,680,762 ", 5 ,10,10,10,10,10,10,10,10,80
CAH984HAW,be proud,M5LHG6R4T,乙宗動物園,15,7,35370000," 5,514,433,532,906 ", 1 ," 5,406,911,813,591 ", 25 ," 1,901,017,854,131 ", 29 ," 15,328,983,787 ", 2 ,10,10,10,10,10,10,10,10,80
ZYAP6N76H,ぬわぁんでよぉ,3F9P3U95T,ଳ天地鱏明の空ଳ,15,10,35275000," 5,139,568,050,147 ", 16 ," 5,392,511,282,165 ", 28 ," 2,218,633,721,720 ", 3 , - , - ,10,10,10,10,10,10,10,10,80
U1IQYBNI5,通りすがりの人,49AMYCXCD,ルドベキア,13,11,35245000," 5,345,988,183,857 ", 5 ," 5,479,411,605,149 ", 13 ," 2,149,293,425,809 ", 8 ," 14,297,820,665 ", 12 ,10,10,10,10,10,10,10,10,80
FVG9O3T6M,少結,PPAHU1TNY,蓮ノ空のんびり部,17,12,35130000," 60,151,463,720 "," 6,189 "," 33,716,964,331 "," 6,868 "," 942,451,866 "," 7,624 "," 14,612,804,243 ", 6 ,10,10,10,10,10,10,10,10,80
TF3P7YXVG,こなといっしょ,VW65MCVF8,スリスリーズ,15,13,35090000," 5,393,558,860,686 ", 4 , - , - ," 2,153,658,852,872 ", 6 , - , - ,10,10,10,10,10,10,10,10,80
