player_id,player_name,search_guild_key,guild_name,DR数量,rank,point, 结算前A分数 , 结算前A RANK , 结算前B分数 , 结算前B RANK , 结算前C分数 , 结算前C RANK , 结算前音游分数 , 结算前音游 rank ,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
4YTEQDE04,笑顔のレシピ,EYN9H9N16,蓮すきすきクラブ,15,1,18000000," 15,820,970,691 "," 7,087 "," 19,813,237,207 "," 7,210 "," 37,350,401,270 "," 5,455 "," 14,676,692,183 ", 5 ,10,10,10,10,10,10,10,10,80
BJ2YEFM93,ロドリゲス,EYN9H9N16,蓮すきすきクラブ,16,2,17910000," 386,355,621,794 "," 3,231 "," 297,235,079,373 "," 3,997 "," 704,739,410,809 ", 798 ," 14,832,326,614 ", 2 ,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,3F9P3U95T,ଳ天地鱏明の空ଳ,16,3,17900000," 3,558,029,716,208 ", 1 ," 3,697,341,605,875 ", 2 ," 1,411,063,395,463 ", 2 , - , - ,10,10,10,10,10,10,10,10,80
6NJM4GUG6,Sea,3F9P3U95T,ଳ天地鱏明の空ଳ,9,4,17830000," 3,472,564,919,349 ", 7 ," 3,657,463,866,639 ", 4 ," 1,424,402,000,027 ", 1 ," 152,723,100 "," 2,665 ",10,10,10,10,10,10,10,10,80
1FREY7CCF,ぱむぱむ,HE0GK3EPE,瑞蓮プロカ倶楽部,16,5,17790000," 3,018,779,544,354 ", 89 ," 3,058,938,128,330 ", 107 ," 1,361,271,036,335 ", 12 ," 14,702,864,857 ", 4 ,10,10,10,10,10,10,10,10,80
HU55NKXPK,青春サブリミナル,EYN9H9N16,蓮すきすきクラブ,17,5,17790000," 3,266,959,494,428 ", 41 ," 3,553,735,487,987 ", 18 ," 1,225,273,378,516 ", 85 ," 14,900,125,523 ", 1 ,10,10,10,10,10,10,10,10,80
LP0BEDRF6,BHL,YE7CX8RNP,蓮ノ大三十角ex,17,5,17790000," 1,215,937,975 "," 8,385 "," 3,558,137,450 "," 8,102 "," 575,290,265 "," 7,866 "," 14,470,577,890 ", 8 ,10,10,10,10,10,10,10,10,80
NC6WJYFVX,でら,1BME38BCD,さすさやクラブ,15,8,17730000," 3,355,168,189,633 ", 23 ," 3,611,595,485,505 ", 10 ," 1,363,593,380,724 ", 10 ," 14,608,417,348 ", 6 ,10,10,10,10,10,10,10,10,80
ZYAP6N76H,ぬわぁんでよぉ,3F9P3U95T,ଳ天地鱏明の空ଳ,15,9,17720000," 3,464,682,455,638 ", 8 , - , - ," 1,404,217,384,587 ", 3 , - , - ,10,10,10,10,10,10,10,10,80
U1IQYBNI5,通りすがりの人,49AMYCXCD,ルドベキア,13,10,17640000," 3,410,392,967,695 ", 14 , - , - ," 1,396,592,190,461 ", 4 ," 14,150,453,487 ", 10 ,10,10,10,10,10,10,10,10,80
